loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
7563.42626953125,86.96796417236328,1140.2884521484375,33.768157958984375
1111.9169921875,33.345420837402344,124508752.0,11158.3486328125
228846576.0,15127.67578125,2219580.75,1489.8258056640625
2214422.0,1488.0933837890625,6858486.0,2618.87109375
6849413.0,2617.138427734375,11379141.0,3373.29833984375
11367453.0,3371.5654296875,13802162.0,3715.126220703125
13789288.0,3713.39306640625,13332958.0,3651.432373046875
13320302.0,3649.698974609375,10427330.0,3229.1376953125
10416141.0,3227.40478515625,6382354.0,2526.33203125
6373600.5,2524.59912109375,2694021.25,1641.347412109375
2688337.0,1639.6148681640625,463624.96875,680.900146484375
461270.9375,679.1693115234375,63212.875,251.4217071533203
64091.62109375,253.16322326660156,1134634.875,1065.1923828125
1138335.25,1066.927978515625,2859124.25,1690.89453125
2864994.5,1692.6295166015625,4346240.0,2084.763671875
