loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
7564.6083984375,86.9747543334961,7733.15087890625,87.93833923339844
7379.3359375,85.90306091308594,7533.45556640625,86.79547882080078
7172.10107421875,84.6882553100586,7408.04345703125,86.06999206542969
6780.6396484375,82.34464263916016,7270.8896484375,85.2695083618164
6168.552734375,78.5401382446289,7036.1455078125,83.8817367553711
5299.04150390625,72.79451751708984,6671.8232421875,81.68122863769531
4294.92138671875,65.53565216064453,6128.0712890625,78.28199768066406
3383.07568359375,58.16421127319336,5475.20068359375,73.99459838867188
2712.15380859375,52.07834243774414,4806.90576171875,69.33185577392578
2247.063720703125,47.403202056884766,4112.9501953125,64.13228607177734
1888.0631103515625,43.451847076416016,3471.31982421875,58.91790771484375
1616.1700439453125,40.20161819458008,2869.838134765625,53.57086944580078
1381.746337890625,37.17184829711914,2341.275146484375,48.38672637939453
1162.5257568359375,34.09583282470703,1857.9512939453125,43.10395812988281
988.93359375,31.447315216064453,1470.63720703125,38.3488883972168
