loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
7653.3564453125,87.48346710205078,6347.830078125,79.67327117919922
6027.04150390625,77.63402557373047,1848144.625,1359.46484375
5112004.5,2260.97412109375,58687.23046875,242.2544708251953
57715.765625,240.24105834960938,93192.53125,305.2745056152344
91966.9375,303.260498046875,93917.15625,306.4590759277344
92686.78125,304.4450378417969,76511.6484375,276.6073913574219
75401.6640625,274.5936279296875,54860.35546875,234.22286987304688
53921.26953125,232.20953369140625,36028.01953125,189.81048583984375
35268.03125,187.7978515625,22149.0625,148.8256072998047
21554.337890625,146.81394958496094,12917.0625,113.65325927734375
12464.171875,111.64305877685547,7208.82373046875,84.90479278564453
6871.86279296875,82.89669799804688,3874.28076171875,62.24372100830078
3628.70556640625,60.238739013671875,2015.407958984375,44.89329528808594
1839.8084716796875,42.89299011230469,1019.8128051757812,31.934507369995117
896.4862670898438,29.941381454467773,504.8679504394531,22.469266891479492
