loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
7538.41357421875,86.82403564453125,7853.2373046875,88.61849212646484
7436.96923828125,86.23786163330078,7780.60888671875,88.20775604248047
7354.51953125,85.75849914550781,7672.59912109375,87.59337615966797
7238.18017578125,85.0774917602539,7540.2392578125,86.83454895019531
7046.802734375,83.94523620605469,7384.068359375,85.93060302734375
6777.9375,82.32823181152344,7197.611328125,84.83873748779297
6403.40576171875,80.02128601074219,6980.251953125,83.54790496826172
5936.3251953125,77.04755401611328,6719.294921875,81.97130584716797
5308.82177734375,72.86166381835938,6426.728515625,80.16687774658203
4628.947265625,68.03636932373047,6108.82080078125,78.15894317626953
3867.0087890625,62.18527603149414,5792.3623046875,76.1075668334961
3238.903076171875,56.91136169433594,5511.392578125,74.23875427246094
3028.378173828125,55.03070068359375,5310.3388671875,72.8720703125
2943.332763671875,54.25249099731445,5193.76220703125,72.06776428222656
2985.66357421875,54.64122772216797,5117.44189453125,71.53630065917969
