loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
7630.029296875,87.35003662109375,7871.46435546875,88.72127532958984
7566.3466796875,86.98474884033203,7844.6953125,88.57028198242188
7521.56396484375,86.7269515991211,7782.0576171875,88.21597290039062
7473.8916015625,86.45167541503906,7645.818359375,87.44036865234375
7397.076171875,86.00625610351562,7452.2177734375,86.32622528076172
7314.283203125,85.5235824584961,7177.28466796875,84.71885681152344
7197.61865234375,84.83878326416016,6794.02099609375,82.42584991455078
7064.63232421875,84.0513687133789,6294.68994140625,79.33908081054688
6856.34619140625,82.80305480957031,5677.57763671875,75.34970092773438
6640.72265625,81.49063110351562,4936.552734375,70.26060485839844
6333.0341796875,79.58036041259766,4135.0517578125,64.30436706542969
6070.70361328125,77.91471862792969,3310.44970703125,57.53650665283203
5761.69482421875,75.90583038330078,2568.97998046875,50.68510437011719
5436.4951171875,73.73258972167969,2067.375,45.4683952331543
5196.5341796875,72.08699035644531,1982.3880615234375,44.524017333984375
