loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
7495.77197265625,86.578125,7789.9462890625,88.26067352294922
7342.1376953125,85.68627166748047,7644.5126953125,87.43290710449219
7154.02587890625,84.58147430419922,7430.1533203125,86.19833374023438
6857.26708984375,82.8086166381836,7106.92236328125,84.30256652832031
6450.45947265625,80.31475067138672,6651.23876953125,81.55513000488281
5923.259765625,76.96271514892578,6043.03369140625,77.73695373535156
5228.64013671875,72.30933380126953,5286.1806640625,72.70612335205078
4444.76611328125,66.66908264160156,4397.33349609375,66.31239318847656
3558.315673828125,59.65161895751953,3425.34375,58.52643585205078
2718.853515625,52.14262771606445,2491.691162109375,49.91684341430664
2050.090087890625,45.27791976928711,1764.321533203125,42.00382614135742
1738.9527587890625,41.70075225830078,1397.97021484375,37.38943862915039
1771.4442138671875,42.08852767944336,1415.61865234375,37.62470626831055
1757.788330078125,41.925987243652344,1715.047119140625,41.41312789916992
1544.1103515625,39.295169830322266,2156.55615234375,46.43873596191406
