loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
161547026432.0,401929.125,1429347712.0,37806.71484375
147513632.0,12145.5185546875,30082.853515625,173.444091796875
3163.643798828125,56.24627685546875,2.905498504638672,1.7045522928237915
5.254004001617432,2.292161464691162,3.5055582523345947,1.8723136186599731
5.195033550262451,2.279261589050293,4.776700973510742,2.1855664253234863
4.879312038421631,2.208916425704956,3.039499044418335,1.7434159517288208
5.159824848175049,2.271524667739868,2.411454200744629,1.5528857707977295
5.13101053237915,2.2651734352111816,5.242173194885254,2.289579153060913
5.2210373878479,2.284958839416504,4.612830638885498,2.14775013923645
5.264407157897949,2.2944295406341553,3.0484323501586914,1.7459760904312134
5.31116247177124,2.304595947265625,3.9341177940368652,1.9834610223770142
5.203575134277344,2.281134605407715,3.4551196098327637,1.858795166015625
5.273629665374756,2.296438455581665,3.890516519546509,1.9724392890930176
5.172000885009766,2.274203300476074,7.096875190734863,2.6639959812164307
5.057662010192871,2.248924732208252,2.3221631050109863,1.523864507675171
