loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
7588.017578125,87.1092300415039,7768.60400390625,88.13968658447266
7106.615234375,84.30074310302734,7618.416015625,87.28353881835938
6520.25732421875,80.74810791015625,7446.4716796875,86.29293823242188
5738.74853515625,75.75453186035156,7253.69482421875,85.16862487792969
4895.16162109375,69.9654312133789,7035.2314453125,83.87628936767578
4119.9501953125,64.18683624267578,6789.54345703125,82.39868927001953
3509.861572265625,59.244083404541016,6269.96435546875,79.18310546875
3041.911865234375,55.15353012084961,5268.3369140625,72.58331298828125
2549.099609375,50.488609313964844,3839.833740234375,61.966392517089844
2049.17333984375,45.26779556274414,2715.661376953125,52.11200714111328
1664.8829345703125,40.802978515625,2036.846923828125,45.131439208984375
1361.80517578125,36.902645111083984,1618.2156982421875,40.22705078125
1141.349365234375,33.78386306762695,1516.2703857421875,38.93931579589844
1020.2141723632812,31.940792083740234,1488.9561767578125,38.58699417114258
968.2810668945312,31.11721420288086,1480.952880859375,38.483150482177734
