generation,root_mean_squared_error,val_root_mean_squared_error
1,84.3807883134475,84.02609587979585
2,81.13535017623458,80.61937962027591
3,76.24462958041309,73.84271517664776
4,66.58366261738685,71.56353333863566
5,46.48760961755239,44.7338284596007
6,30.825130767860482,32.27326994344387
7,22.44586597439491,21.74811538981546
8,21.067880129670876,23.95552355380051
9,12.30648277552392,16.83884932876901
10,12.30648277552392,16.83884932876901
11,11.616269464816227,17.148491936743344
12,9.041626888767881,11.74642906939682
13,9.041626888767881,11.74642906939682
14,6.506785825227974,11.8337861383297
15,6.506785825227974,11.8337861383297
16,6.506785825227974,11.8337861383297
17,6.506785825227974,11.8337861383297
18,6.506785825227974,11.8337861383297
19,6.506785825227974,11.8337861383297
20,6.506785825227974,11.8337861383297
21,6.506785825227974,11.8337861383297
22,6.506785825227974,11.8337861383297
23,6.506785825227974,11.8337861383297
24,6.506785825227974,11.8337861383297
25,6.506785825227974,11.8337861383297
26,6.506785825227974,11.8337861383297
27,5.959649068091439,13.004293249886587
28,5.959649068091439,13.004293249886587
29,5.959649068091439,13.004293249886587
30,5.5635761985858885,7.051601147729489
31,5.5635761985858885,7.051601147729489
32,5.5635761985858885,7.051601147729489
33,5.5635761985858885,7.051601147729489
34,5.5635761985858885,7.051601147729489
35,5.5635761985858885,7.051601147729489
36,5.5635761985858885,7.051601147729489
37,5.1590243604847785,10.45451317614598
38,5.1590243604847785,10.45451317614598
39,5.030155776465188,7.439161158495296
40,4.67518422023765,4.64005727199492
41,3.187380788828275,3.936491513815705
42,3.187380788828275,3.936491513815705
43,3.187380788828275,3.936491513815705
44,3.187380788828275,3.936491513815705
45,3.187380788828275,3.936491513815705
46,3.187380788828275,3.936491513815705
47,3.187380788828275,3.936491513815705
48,3.187380788828275,3.936491513815705
49,3.187380788828275,3.936491513815705
50,3.187380788828275,3.936491513815705
51,3.187380788828275,3.936491513815705
52,3.187380788828275,3.936491513815705
53,3.187380788828275,3.936491513815705
54,3.187380788828275,3.936491513815705
55,2.1450067426235906,3.4513274594670285
56,2.1450067426235906,3.4513274594670285
57,2.1450067426235906,3.4513274594670285
58,2.1450067426235906,3.4513274594670285
59,2.1450067426235906,3.4513274594670285
60,2.1450067426235906,3.4513274594670285
61,2.1450067426235906,3.4513274594670285
62,2.1450067426235906,3.4513274594670285
63,2.1450067426235906,3.4513274594670285
64,2.1450067426235906,3.4513274594670285
65,2.1450067426235906,3.4513274594670285
66,2.1450067426235906,3.4513274594670285
67,2.1450067426235906,3.4513274594670285
68,2.1450067426235906,3.4513274594670285
69,2.1450067426235906,3.4513274594670285
70,2.1450067426235906,3.4513274594670285
71,2.1450067426235906,3.4513274594670285
72,2.1450067426235906,3.4513274594670285
73,2.1450067426235906,3.4513274594670285
74,2.1450067426235906,3.4513274594670285
75,2.1450067426235906,3.4513274594670285
76,2.1450067426235906,3.4513274594670285
77,2.1450067426235906,3.4513274594670285
78,1.9874911430197557,3.194028475136343
79,1.9874911430197557,3.194028475136343
80,1.9874911430197557,3.194028475136343
81,1.9874911430197557,3.194028475136343
82,1.9874911430197557,3.194028475136343
83,1.9874911430197557,3.194028475136343
84,1.9874911430197557,3.194028475136343
85,1.9874911430197557,3.194028475136343
86,1.5306648041320947,2.7848209719626422
87,1.5306648041320947,2.7848209719626422
88,1.5306648041320947,2.7848209719626422
89,1.5306648041320947,2.7848209719626422
90,1.5306648041320947,2.7848209719626422
91,1.5306648041320947,2.7848209719626422
92,1.5306648041320947,2.7848209719626422
93,1.5096213609427533,2.8044022941430073
94,1.5096213609427533,2.8044022941430073
95,1.5096213609427533,2.8044022941430073
96,1.5096213609427533,2.8044022941430073
97,1.5096213609427533,2.8044022941430073
98,1.5096213609427533,2.8044022941430073
99,1.5096213609427533,2.8044022941430073
100,1.5096213609427533,2.8044022941430073
