generation,root_mean_squared_error,val_root_mean_squared_error
1,83.76494276271188,83.73553805753112
2,78.32915413565512,74.69610787670335
3,72.48233937769164,67.77624381468303
4,66.52500741853243,61.46212815736455
5,47.86572062983959,52.20564927449456
6,40.32430071708684,42.85208528257734
7,33.563991134627045,33.956381475242225
8,18.811751896305278,24.35077690955072
9,14.244960625249183,19.309047893981298
10,12.490554914095897,13.895155846546812
11,12.001830599675685,12.280884217090506
12,9.680746082123896,8.743522779467645
13,9.680746082123896,8.743522779467645
14,9.680746082123896,8.743522779467645
15,9.680746082123896,8.743522779467645
16,8.024878355215987,9.50578956776958
17,7.886037402764397,12.078998562179812
18,7.886037402764397,12.078998562179812
19,7.886037402764397,12.078998562179812
20,7.886037402764397,12.078998562179812
21,7.886037402764397,12.078998562179812
22,7.886037402764397,12.078998562179812
23,6.910661526218173,8.270267104727289
24,6.910661526218173,8.270267104727289
25,6.7768395235428445,6.808092155406854
26,6.7768395235428445,6.808092155406854
27,6.7768395235428445,6.808092155406854
28,6.236582705729593,7.497989991380036
29,4.656886078796126,6.491077431440553
30,4.656886078796126,6.491077431440553
31,4.656886078796126,6.491077431440553
32,4.656886078796126,6.491077431440553
33,4.656886078796126,6.491077431440553
34,4.656886078796126,6.491077431440553
35,4.553230261799239,5.206642548420346
36,4.553230261799239,5.206642548420346
37,4.553230261799239,5.206642548420346
38,4.553230261799239,5.206642548420346
39,4.553230261799239,5.206642548420346
40,4.553230261799239,5.206642548420346
41,4.271320967970438,5.951862581582043
42,4.271320967970438,5.951862581582043
43,4.271320967970438,5.951862581582043
44,3.5832096854349405,3.2244749636340897
45,3.5832096854349405,3.2244749636340897
46,3.509366206512523,3.0854700335150023
47,3.509366206512523,3.0854700335150023
48,3.509366206512523,3.0854700335150023
49,3.509366206512523,3.0854700335150023
50,3.509366206512523,3.0854700335150023
51,3.509366206512523,3.0854700335150023
52,3.509366206512523,3.0854700335150023
53,3.509366206512523,3.0854700335150023
54,3.3139915130685877,2.784345503094973
55,3.3139915130685877,2.784345503094973
56,3.3139915130685877,2.784345503094973
57,2.445675583980116,2.366801521348472
58,2.445675583980116,2.366801521348472
59,2.445675583980116,2.366801521348472
60,2.445675583980116,2.366801521348472
61,2.445675583980116,2.366801521348472
62,2.445675583980116,2.366801521348472
63,2.445675583980116,2.366801521348472
64,2.445675583980116,2.366801521348472
65,2.445675583980116,2.366801521348472
66,2.445675583980116,2.366801521348472
67,2.445675583980116,2.366801521348472
68,2.445675583980116,2.366801521348472
69,2.445675583980116,2.366801521348472
70,2.445675583980116,2.366801521348472
71,2.445675583980116,2.366801521348472
72,2.445675583980116,2.366801521348472
73,2.445675583980116,2.366801521348472
74,2.445675583980116,2.366801521348472
75,2.445675583980116,2.366801521348472
76,2.445675583980116,2.366801521348472
77,2.422593536665164,2.623500572297224
78,2.422593536665164,2.623500572297224
79,2.422593536665164,2.623500572297224
80,2.422593536665164,2.623500572297224
81,2.422593536665164,2.623500572297224
82,2.422593536665164,2.623500572297224
83,2.422593536665164,2.623500572297224
84,2.422593536665164,2.623500572297224
85,2.422593536665164,2.623500572297224
86,2.422593536665164,2.623500572297224
87,2.422593536665164,2.623500572297224
88,2.422593536665164,2.623500572297224
89,2.422593536665164,2.623500572297224
90,2.422593536665164,2.623500572297224
91,2.422593536665164,2.623500572297224
92,2.422593536665164,2.623500572297224
93,2.422593536665164,2.623500572297224
94,2.422593536665164,2.623500572297224
95,2.422593536665164,2.623500572297224
96,2.422593536665164,2.623500572297224
97,2.422593536665164,2.623500572297224
98,2.422593536665164,2.623500572297224
99,2.422593536665164,2.623500572297224
100,2.422593536665164,2.623500572297224
